Дата,№ тура,Тур,Команда 1,Голы Команда 1,Голы Команда 2,Команда 2,Данные 1,Данные 2
08.09.2000,1st Round,Италия. Суперкубок,lazio, 4 , 3 ,inter,Lazio  4 ,Inter  3 
12.09.2000,1st Group Stage,Лига чемпионов,lazio, 3 , 0 ,shakhtar,Shakhtar  0 ,Lazio  3 
20.09.2000,1st Group Stage,Лига чемпионов,lazio, 3 , 0 ,sparta,Lazio  3 ,Sparta  0 
27.09.2000,1st Group Stage,Лига чемпионов,lazio, 0 , 2 ,arsenal,Arsenal  2 ,Lazio  0 
01.10.2000,Regular Season,Италия. Серия А,lazio, 2 , 2 ,atalanta,Atalanta  2 ,Lazio  2 
14.10.2000,Regular Season,Италия. Серия А,lazio, 3 , 0 ,tags/7203231,Lazio  3 ,Tags/7203231  0 
17.10.2000,1st Group Stage,Лига чемпионов,lazio, 1 , 1 ,arsenal,Lazio  1 ,Arsenal  1 
22.10.2000,Regular Season,Италия. Серия А,lazio, 0 , 2 ,hellas-verona,Hellas-verona  2 ,Lazio  0 
25.10.2000,1st Group Stage,Лига чемпионов,lazio, 5 , 1 ,shakhtar,Lazio  5 ,Shakhtar  1 
01.11.2000,Regular Season,Италия. Серия А,lazio, 2 , 1 ,brescia-calcio,Lazio  2 ,Brescia-calcio  1 
04.11.2000,Regular Season,Италия. Серия А,lazio, 2 , 0 ,bologna,Lazio  2 ,Bologna  0 
07.11.2000,1st Group Stage,Лига чемпионов,lazio, 1 , 0 ,sparta,Sparta  0 ,Lazio  1 
11.11.2000,Regular Season,Италия. Серия А,lazio, 1 , 1 ,juventus,Juventus  1 ,Lazio  1 
18.11.2000,Regular Season,Италия. Серия А,lazio, 1 , 1 ,milan,Lazio  1 ,Milan  1 
23.11.2000,2nd Group Stage,Лига чемпионов,lazio, 0 , 1 ,anderlecht,Anderlecht  1 ,Lazio  0 
26.11.2000,Regular Season,Италия. Серия А,lazio, 0 , 2 ,parma,Parma  2 ,Lazio  0 
02.12.2000,Regular Season,Италия. Серия А,lazio, 2 , 0 ,tags/1046365,Lazio  2 ,Tags/1046365  0 
05.12.2000,2nd Group Stage,Лига чемпионов,lazio, 0 , 1 ,leeds,Lazio  0 ,Leeds  1 
10.12.2000,Regular Season,Италия. Серия А,lazio, 4 , 1 ,tags/3092819,Tags/3092819  1 ,Lazio  4 
17.12.2000,Regular Season,Италия. Серия А,lazio, 0 , 1 ,roma,Lazio  0 ,Roma  1 
22.12.2000,Regular Season,Италия. Серия А,lazio, 2 , 1 ,tags/2682692,Tags/2682692  1 ,Lazio  2 
07.01.2001,Regular Season,Италия. Серия А,lazio, 1 , 2 ,napoli,Lazio  1 ,Napoli  2 
14.01.2001,Regular Season,Италия. Серия А,lazio, 4 , 3 ,udinese,Udinese  3 ,Lazio  4 
20.01.2001,Regular Season,Италия. Серия А,lazio, 2 , 0 ,inter,Lazio  2 ,Inter  0 
