Дата,Тур,Команда 1,Голы Команда 1,Голы Команда 2,Команда 2,Данные 1,Данные 2
09.09.2000,Групповой этап,barcelona,2,1,malaga,Barcelona 2,Malaga 1
13.09.2000,1st Group Stage,barcelona,4,0,leeds,Barcelona 4,Leeds 0
16.09.2000,Групповой этап,barcelona,1,3,athletic,Athletic 3,Barcelona 1
19.09.2000,1st Group Stage,barcelona,0,3,besiktas,Besiktas 3,Barcelona 0
23.09.2000,Групповой этап,barcelona,3,1,tags/1363883,Barcelona 3,Tags/1363883 1
26.09.2000,1st Group Stage,barcelona,0,2,milan,Barcelona 0,Milan 2
01.10.2000,Групповой этап,barcelona,0,2,deportivo,Deportivo 2,Barcelona 0
14.10.2000,Групповой этап,barcelona,6,0,real-sociedad,Real-sociedad 0,Barcelona 6
18.10.2000,1st Group Stage,barcelona,3,3,milan,Milan 3,Barcelona 3
21.10.2000,Групповой этап,barcelona,2,0,real,Barcelona 2,Real 0
24.10.2000,1st Group Stage,barcelona,1,1,leeds,Leeds 1,Barcelona 1
28.10.2000,Групповой этап,barcelona,0,2,mallorca,Mallorca 2,Barcelona 0
01.11.2000,Групповой этап,barcelona,1,1,tags/4765096,Barcelona 1,Tags/4765096 1
04.11.2000,Групповой этап,barcelona,1,0,las-palmas,Las-palmas 0,Barcelona 1
08.11.2000,1st Group Stage,barcelona,5,0,besiktas,Barcelona 5,Besiktas 0
12.11.2000,Групповой этап,barcelona,1,2,villarreal,Barcelona 1,Villarreal 2
19.11.2000,Групповой этап,barcelona,1,3,tags/1363877,Tags/1363877 3,Barcelona 1
23.11.2000,3rd Round,barcelona,2,0,brugge-fc,Brugge-fc 0,Barcelona 2
26.11.2000,Групповой этап,barcelona,2,0,osasuna,Barcelona 2,Osasuna 0
02.12.2000,Групповой этап,barcelona,3,3,celta,Celta 3,Barcelona 3
07.12.2000,3rd Round,barcelona,1,1,brugge-fc,Barcelona 1,Brugge-fc 1
10.12.2000,Групповой этап,barcelona,4,2,espanyol,Barcelona 4,Espanyol 2
16.12.2000,Групповой этап,barcelona,2,2,rayo-vallecano,Rayo-vallecano 2,Barcelona 2
20.12.2000,Групповой этап,barcelona,3,2,alaves,Barcelona 3,Alaves 2
07.01.2001,Групповой этап,barcelona,3,2,tags/6220178,Tags/6220178 2,Barcelona 3
13.01.2001,Групповой этап,barcelona,3,1,valladolid,Barcelona 3,Valladolid 1
20.01.2001,Групповой этап,barcelona,1,0,valencia,Valencia 0,Barcelona 1
27.01.2001,Групповой этап,barcelona,0,0,malaga,Malaga 0,Barcelona 0
03.02.2001,Групповой этап,barcelona,7,0,athletic,Barcelona 7,Athletic 0
11.02.2001,Групповой этап,barcelona,0,4,tags/1363883,Tags/1363883 4,Barcelona 0
15.02.2001,4th Round,barcelona,1,0,aek-athens,Aek-athens 0,Barcelona 1
17.02.2001,Групповой этап,barcelona,2,3,deportivo,Barcelona 2,Deportivo 3
22.02.2001,4th Round,barcelona,5,0,aek-athens,Barcelona 5,Aek-athens 0
25.02.2001,Групповой этап,barcelona,3,0,real-sociedad,Barcelona 3,Real-sociedad 0
03.03.2001,Групповой этап,barcelona,2,2,real,Real 2,Barcelona 2
08.03.2001,1/4 финала,barcelona,2,1,celta,Barcelona 2,Celta 1
11.03.2001,Групповой этап,barcelona,1,1,mallorca,Barcelona 1,Mallorca 1
15.03.2001,1/4 финала,barcelona,2,3,celta,Celta 3,Barcelona 2
